sku,print,velikost,zaloga
MBYCDR-XL,CHINESE DRAGON,XL,2
MBYKOR-S,KOREK,S,1
MBYKOR-M,KOREK,M,6
MBYKOR-L,KOREK,L,3
MBYKOR-XL,KOREK,XL,2
MCYGMY-S,GUMMY LOVE,S,0
MCYGMY-M,GUMMY LOVE,M,4
MCYGMY-L,GUMMY LOVE,L,1
MCYGMY-XL,GUMMY LOVE,XL,2
MCYGMY-XXL,GUMMY LOVE,XXL,0
